FID,wkb_geometry,id,parkomat_id,type,vejkode,p_zone,beboer_zone,vejnavn,husnr,placering,ejerlavkode,opret_dato,ret_dato
parkomat.102,POINT (12.550285871385151 55.69475209044479),721,1111,Betalingsautomat,5604,BLÅ,IN,PRINSESSE CHARLOTTES GADE,42,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.103,POINT (12.551682863949889 55.693859224818546),720,1112,Betalingsautomat,5604,BLÅ,IN,PRINSESSE CHARLOTTES GADE,28,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.104,POINT (12.555023521223525 55.69437337833178),722,1113,Betalingsautomat,6408,BLÅ,IN,Sjællandsgade,22,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.105,POINT (12.553081802427794 55.6945323001345),723,1114,Betalingsautomat,7808,BLÅ,IN,UDBYGADE,7,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.106,POINT (12.552646433476749 55.69508521310337),724,1115,Betalingsautomat,7808,BLÅ,IN,UDBYGADE,15,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.107,POINT (12.552708798428938 55.69409862383791),725,1116,Betalingsautomat,6908,BLÅ,IN,STEVNSGADE,6,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.108,POINT (12.552012936039729 55.69475690139768),726,1117,Betalingsautomat,6908,BLÅ,IN,STEVNSGADE,16,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.109,POINT (12.551682672763484 55.695402673546475),727,1118,Betalingsautomat,6908,BLÅ,IN,STEVNSGADE,22,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.110,POINT (12.553425730468637 55.69554622291824),728,1119,Betalingsautomat,2404,BLÅ,IN,GULDBERGSGADE,82,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.111,POINT (12.554021057630138 55.69473497643382),729,1120,Betalingsautomat,2404,BLÅ,IN,GULDBERGSGADE,72,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.112,POINT (12.554270106067898 55.68605096290806),927,1121,Betalingsautomat,2128,BLÅ,IN,GARTNERGADE,4,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.113,POINT (12.559176266760609 55.6910664308322),930,1124,Betalingsautomat,2404,BLÅ,IN,GULDBERGSGADE,7B,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.114,POINT (12.556345431464159 55.68331835886635),932,1128,Betalingsautomat,8636,BLÅ,IN,ÅBOULEVARD,12,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
