,LAT,LOCATION,LON,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED
"(40.51402, -74.2355046)",40.51402,1, -74.2355046,0.0,0.0
"(40.5140309, -74.2039855)",40.5140309,1, -74.2039855,0.0,0.0
"(40.5140563, -74.2417733)",40.5140563,11, -74.2417733,4.0,0.0
"(40.5141425, -74.1966815)",40.5141425,1, -74.1966815,0.0,0.0
"(40.5142028, -74.2360088)",40.5142028,1, -74.2360088,0.0,0.0
"(40.5143624, -74.2462844)",40.5143624,5, -74.2462844,3.0,0.0
"(40.5143875, -74.235639)",40.5143875,12, -74.235639,2.0,0.0
"(40.5144139, -74.2062489)",40.5144139,10, -74.2062489,1.0,0.0
"(40.514615, -74.2423652)",40.514615,1, -74.2423652,0.0,0.0
"(40.5147214, -74.2015384)",40.5147214,2, -74.2015384,0.0,0.0
"(40.5147268, -74.237478)",40.5147268,1, -74.237478,0.0,0.0
"(40.5148683, -74.2406973)",40.5148683,1, -74.2406973,0.0,0.0
"(40.5149682, -74.2388671)",40.5149682,2, -74.2388671,0.0,0.0
"(40.5149686, -74.1967415)",40.5149686,1, -74.1967415,0.0,0.0
"(40.5150512, -74.2345696)",40.5150512,3, -74.2345696,1.0,0.0
"(40.5151142, -74.2451291)",40.5151142,2, -74.2451291,1.0,0.0
"(40.5151191, -74.2402487)",40.5151191,2, -74.2402487,1.0,0.0
"(40.515358, -74.2047628)",40.515358,5, -74.2047628,3.0,0.0
"(40.5153979, -74.2381385)",40.5153979,2, -74.2381385,0.0,0.0
"(40.5154138, -74.2118265)",40.5154138,1, -74.2118265,0.0,0.0
"(40.5154777, -74.2445766)",40.5154777,4, -74.2445766,1.0,0.0
"(40.5155489, -74.2394662)",40.5155489,1, -74.2394662,0.0,0.0
"(40.5157709, -74.243549)",40.5157709,8, -74.243549,3.0,0.0
"(40.515785, -74.2354389)",40.515785,1, -74.2354389,0.0,0.0
"(40.5158241, -74.2081126)",40.5158241,1, -74.2081126,0.0,0.0
"(40.5159264, -74.1968198)",40.5159264,3, -74.1968198,1.0,0.0
"(40.5159924, -74.2387053)",40.5159924,3, -74.2387053,0.0,0.0
"(40.5160906, -74.1986581)",40.5160906,1, -74.1986581,0.0,0.0
"(40.5160986, -74.1956479)",40.5160986,4, -74.1956479,1.0,0.0
"(40.5161168, -74.2071748)",40.5161168,1, -74.2071748,0.0,0.0
"(40.5161985, -74.1950008)",40.5161985,2, -74.1950008,0.0,0.0
"(40.5162091, -74.1968422)",40.5162091,4, -74.1968422,1.0,0.0
"(40.5163366, -74.2328225)",40.5163366,71, -74.2328225,7.0,0.0
"(40.5163458, -74.2363724)",40.5163458,2, -74.2363724,0.0,0.0
"(40.5163986, -74.193534)",40.5163986,1, -74.193534,0.0,0.0
"(40.5164393, -74.2428573)",40.5164393,1, -74.2428573,0.0,0.0
"(40.5164508, -74.2121499)",40.5164508,1, -74.2121499,0.0,0.0
"(40.516456, -74.1968753)",40.516456,1, -74.1968753,0.0,0.0
"(40.5165265, -74.2392323)",40.5165265,2, -74.2392323,0.0,0.0
"(40.5166242, -74.202785)",40.5166242,10, -74.202785,11.0,1.0
"(40.5168509, -74.2323028)",40.5168509,4, -74.2323028,0.0,0.0
"(40.5168654, -74.2075548)",40.5168654,1, -74.2075548,0.0,0.0
"(40.5169075, -74.240809)",40.5169075,3, -74.240809,2.0,0.0
"(40.5169336, -74.1969091)",40.5169336,3, -74.1969091,1.0,0.0
"(40.5169552, -74.2336555)",40.5169552,1, -74.2336555,0.0,0.0
"(40.5169613, -74.2030665)",40.5169613,1, -74.2030665,0.0,0.0
"(40.5170811, -74.2338574)",40.5170811,1, -74.2338574,0.0,0.0
"(40.5172524, -74.239947)",40.5172524,2, -74.239947,0.0,0.0
"(40.5174368, -74.2317078)",40.5174368,1, -74.2317078,0.0,0.0
"(40.5174987, -74.2124733)",40.5174987,2, -74.2124733,2.0,0.0
"(40.5175331, -74.2315931)",40.5175331,3, -74.2315931,0.0,0.0
"(40.5177013, -74.2405421)",40.5177013,22, -74.2405421,0.0,0.0
"(40.517782, -74.1951565)",40.517782,1, -74.1951565,0.0,0.0
"(40.5178639, -74.1969946)",40.5178639,7, -74.1969946,1.0,0.0
"(40.5179006, -74.2344249)",40.5179006,1, -74.2344249,0.0,0.0
"(40.5179918, -74.196067)",40.5179918,1, -74.196067,0.0,0.0
"(40.518097, -74.2049474)",40.518097,2, -74.2049474,2.0,0.0
"(40.5181283, -74.234494)",40.5181283,1, -74.234494,0.0,0.0
"(40.5181299, -74.200333)",40.5181299,1, -74.200333,0.0,0.0
